DATE,Price,Open,High ,Low,Volume,Change %
01-Jan-19,3809.40,3709.50,3814.30,3664.40,469.11K,2.69%
02-Jan-19,3873.80,3809.70,3894.80,3768.10,554.47K,1.69%
03-Jan-19,3780.10,3874.10,3875.80,3753.00,450.32K,-2.42%
04-Jan-19,3802.70,3780.50,3823.90,3720.00,488.70K,0.60%
05-Jan-19,3785.40,3802.80,3846.70,3769.00,468.45K,-0.46%
06-Jan-19,4004.10,3785.70,4034.10,3758.50,529.89K,5.78%
07-Jan-19,3985.90,4004.30,4028.00,3945.50,500.88K,-0.45%
08-Jan-19,3971.00,3985.80,4070.50,3943.10,514.08K,-0.37%
09-Jan-19,3978.00,3971.00,4014.20,3957.50,473.42K,0.17%
10-Jan-19,3603.70,3978.90,4007.70,3562.10,697.31K,-9.41%
11-Jan-19,3616.50,3603.30,3655.70,3563.10,551.64K,0.35%
12-Jan-19,3597.20,3616.60,3633.90,3561.30,435.06K,-0.53%
13-Jan-19,3490.20,3597.30,3617.60,3473.20,452.79K,-2.98%
14-Jan-19,3638.10,3490.40,3672.00,3490.40,539.93K,4.24%
15-Jan-19,3571.30,3637.50,3660.80,3545.70,544.85K,-1.84%
16-Jan-19,3588.00,3570.60,3644.10,3561.40,487.34K,0.47%
17-Jan-19,3626.40,3588.10,3636.70,3554.80,525.10K,1.07%
18-Jan-19,3605.60,3626.30,3627.90,3575.70,488.16K,-0.57%
19-Jan-19,3677.80,3605.80,3715.20,3604.10,537.06K,2.00%
20-Jan-19,3542.30,3676.20,3699.10,3503.90,563.31K,-3.68%
21-Jan-19,3536.70,3542.70,3561.40,3505.40,394.17K,-0.16%
22-Jan-19,3580.10,3536.90,3607.90,3465.20,447.70K,1.23%
23-Jan-19,3561.50,3580.10,3608.30,3532.80,445.87K,-0.52%
24-Jan-19,3574.30,3561.40,3587.00,3539.70,428.60K,0.36%
25-Jan-19,3572.00,3574.30,3582.60,3542.20,448.89K,-0.06%
26-Jan-19,3570.90,3572.00,3652.50,3556.10,432.55K,-0.03%
27-Jan-19,3555.60,3570.90,3583.20,3509.20,464.02K,-0.43%
28-Jan-19,3442.80,3555.80,3561.20,3395.70,620.85K,-3.17%
29-Jan-19,3414.80,3442.80,3450.10,3368.20,585.46K,-0.81%
30-Jan-19,3460.00,3414.60,3479.00,3394.20,600.25K,1.32%
31-Jan-19,3437.20,3460.00,3484.70,3427.00,477.07K,-0.66%
01-Feb-19,3467.90,3437.70,3485.70,3415.30,481.58K,0.90%
02-Feb-19,3502.50,3467.90,3514.50,3447.80,443.60K,1.00%
03-Feb-19,3459.10,3502.30,3507.80,3431.30,451.66K,-1.24%
04-Feb-19,3462.80,3459.00,3479.70,3437.10,503.92K,0.11%
05-Feb-19,3468.40,3463.00,3485.90,3450.30,460.95K,0.16%
06-Feb-19,3404.30,3468.50,3478.00,3383.90,514.21K,-1.85%
07-Feb-19,3397.70,3404.90,3421.80,3390.30,471.36K,-0.20%
08-Feb-19,3661.70,3397.30,3721.10,3382.50,699.23K,7.77%
09-Feb-19,3661.40,3661.60,3675.30,3633.20,454.80K,-0.01%
10-Feb-19,3679.00,3661.00,3680.60,3617.10,501.90K,0.48%
11-Feb-19,3631.80,3678.80,3681.10,3623.80,517.28K,-1.28%
12-Feb-19,3632.00,3631.80,3656.40,3594.40,545.82K,0.01%
13-Feb-19,3611.50,3632.00,3663.50,3599.20,558.02K,-0.56%
14-Feb-19,3592.60,3611.50,3624.50,3580.20,498.14K,-0.52%
15-Feb-19,3604.70,3592.60,3648.30,3581.40,516.21K,0.34%
16-Feb-19,3616.80,3604.70,3641.90,3599.70,485.63K,0.34%
17-Feb-19,3664.20,3616.80,3689.90,3607.90,580.51K,1.31%
18-Feb-19,3896.00,3664.20,3903.70,3655.10,933.15K,6.33%
19-Feb-19,3914.30,3896.40,3993.80,3863.70,1.44M,0.47%
20-Feb-19,3972.40,3914.30,3983.60,3881.20,698.01K,1.48%
21-Feb-19,3936.60,3972.00,4011.50,3909.20,668.16K,-0.90%
22-Feb-19,3965.20,3937.40,3983.10,3931.70,649.55K,0.73%
23-Feb-19,4120.40,3965.20,4152.60,3939.40,727.85K,3.91%
24-Feb-19,3755.20,4120.50,4194.20,3738.70,977.78K,-8.86%
25-Feb-19,3833.70,3755.70,3870.70,3753.80,765.87K,2.09%
26-Feb-19,3810.30,3833.50,3845.50,3775.00,2.09M,-0.61%
27-Feb-19,3814.60,3810.30,3836.40,3701.90,2.82M,0.11%
28-Feb-19,3816.60,3814.60,3883.70,3783.30,2.31M,0.05%
01-Mar-19,3821.90,3816.70,3855.80,3816.40,1.74M,0.14%
02-Mar-19,3823.10,3821.90,3843.20,3783.60,1.61M,0.03%
